843	55947	3
843	81199	4
843	32934	4
843	59291	4
843	24035	4
843	39462	3
843	2179	3
843	1079	5
843	22627	5
843	94246	4
843	84991	4
843	31342	3
843	59865	2
843	14347	5
843	90832	5
843	1611	4
843	47039	4
843	82176	4
843	56622	4
843	13809	4
843	93259	4
843	83284	4
843	93198	5
843	90820	4
843	10560	4
843	43392	4
843	76456	5
843	45871	5
843	59103	4
843	59965	4
843	55297	3
843	5792	4
843	1543	3
843	44205	3
843	38545	2
843	77417	3
843	773	4
843	57862	3
843	11402	4
843	66669	5
843	22693	5
843	93100	4
843	3782	4
843	81812	4
843	89048	4
843	3203	4
843	73713	4
843	73174	4
843	58256	4
843	43104	5
843	50248	3
843	28685	5
843	27427	4
843	6052	4
843	12187	4
843	240	4
843	3852	3
843	3895	3
843	22104	4
843	26366	4
843	27090	4
843	75243	5
843	29472	5
843	79951	4
843	4909	4
843	41950	4
843	95129	4
843	83133	4
843	92297	4
843	45292	5
843	70985	4
843	69992	3
843	2268	5
843	84718	5
843	41838	4
843	55752	3
843	87041	4
843	78317	4
843	58744	5
843	54513	4
843	7655	4
843	52219	3
843	83997	5
843	73481	3
843	58948	5
843	13956	3
843	21321	4
843	40930	5
843	76364	5
843	7455	5
843	29820	4
843	93534	4
843	41276	3
843	38392	3
843	16469	5
843	73390	5
843	53440	4
843	53913	4
843	27261	5
843	51753	3
843	57052	4
843	2066	5
843	7970	4
843	48006	4
843	58955	3
843	91327	4
843	5137	5
843	47749	5
843	5097	4
843	75531	4
843	95408	5
843	86800	4
843	57695	5
843	59123	3
843	55058	4
843	93281	4
843	23912	4
843	74316	4
843	28651	4
843	48138	3
843	44415	5
843	4815	5
843	3232	4
843	69251	4
843	33285	5
843	2440	4
843	85705	4
843	64483	5
843	44809	4
843	60622	1
843	53378	4
843	44807	5
843	8073	5
843	381	3
843	47735	4
843	54115	5
843	85190	5
843	57418	5
843	70972	5
843	515	5
843	73426	5
843	10259	5
843	9102	5
843	70976	4
843	14591	4
843	13044	5
843	86768	5
843	44490	5
843	23809	4
843	23812	5
843	77295	4
843	85211	5
843	49748	3
843	92744	4
843	10480	4
843	21296	4
843	16755	5
843	92948	4
843	83462	5
843	79280	5
843	6834	4
843	1382	3
843	90639	5
843	88510	5
843	53759	4
843	34984	4
843	87923	4
843	87341	5
843	66552	5
843	50632	4
843	7400	4
843	70305	3
843	75003	3
843	34093	5
843	85738	5
843	43620	5
843	79353	3
843	75535	4
843	72250	3
843	23282	4
843	74397	5
843	47064	3
843	80423	5
843	4895	5
843	25084	4
843	49438	3
843	6911	3
843	39065	4
843	43969	5
843	48027	4
843	36444	3
843	30950	3
843	39278	3
843	35668	5
843	40093	5
843	86349	3
843	6170	4
2154	53322	1
2154	87424	5
2055	59168	4
2055	21455	5
2349	46440	4
2349	74759	4
607	40646	3
607	86467	3
607	75028	4
2487	63307	4
2487	55889	1
2487	79635	4
2487	69454	5
2487	95468	1
2487	38005	3
2487	51805	5
2487	44391	4
2487	43222	4
2487	46140	1
2487	45993	4
2487	91374	4
2487	68266	4
2487	26771	4
2487	11490	2
2487	13044	4
2487	92109	5
2487	93361	4
2487	89600	5
2504	81545	3
2504	41159	4
2504	42695	4
2504	48557	3
2504	40093	2
2504	86178	4
2504	53322	1
2504	87376	1
2504	24877	4
2504	25610	2
2504	18314	3
2504	8677	2
2504	17751	3
2504	2509	4
2504	803	4
2504	13846	5
2504	9724	4
2504	17440	4
2504	2053	2
2504	68327	3
2504	2495	4
2504	13840	5
2504	86467	5
2504	2052	1
2504	83212	1
2074	35335	5
2074	41192	2
2074	8330	5
2074	94145	4
2074	86672	4
2074	88289	4
2074	74647	5
2074	84608	4
2074	72000	5
2074	25566	5
2074	30825	5
2074	16908	5
2074	11340	4
2074	71237	4
2074	78979	4
2074	77513	4
2074	84773	2
2074	35996	3
2074	71535	4
2074	69803	1
2074	15435	3
2074	79952	3
2074	406	4
2074	14910	5
2074	78730	4
2074	75157	4
2074	78316	4
2074	71499	3
2074	74410	4
2074	76002	3
2074	75413	3
2074	74939	4
2074	23675	3
2074	74932	3
2074	72583	4
2074	74028	4
2074	330	3
2074	35799	3
2074	72742	4
2074	69681	3
2074	37384	4
2074	37225	4
2074	37223	4
2074	67252	3
2074	70863	4
2074	70121	4
2074	69018	5
2074	35749	4
2074	34683	3
2074	25362	3
2074	1002	3
2074	18030	3
2074	34684	3
2074	23677	4
2074	1241	3
2074	29675	3
2074	1019	5
2074	18261	3
2074	33376	3
2074	35434	3
2074	34698	3
2074	96	3
2074	22104	4
2074	25722	3
2450	24960	4
2450	94211	4
2450	70166	4
2450	40984	4
2450	84911	4
2450	51063	4
2450	51062	4
2450	50097	4
2450	29342	4
2450	5334	5
2450	81883	5
2450	51534	4
2450	42370	5
2450	32566	4
2450	30011	4
2450	50463	5
2450	8677	3
2450	17675	5
2450	77176	5
2450	25169	4
2450	31392	4
2450	31397	5
2450	79819	3
2450	15666	4
2450	5822	4
2450	6990	5
2450	94997	5
2450	94995	4
2450	2495	4
2450	24062	5
2450	78978	5
2171	138	5
2171	38109	4
2171	13273	5
2171	2272	5
2171	20417	5
1632	11306	3
1632	42949	5
1632	4016	3
1632	31438	5
657	65404	5
657	62019	4
657	62253	5
657	60227	5
657	61029	3
657	62139	4
657	29479	5
657	10891	5
657	30171	4
657	40943	4
657	39312	4
657	37865	4
657	59874	4
657	57301	4
657	38072	3
657	80499	2
657	2052	4
657	37311	4
657	2053	5
657	37300	5
657	37310	4
657	3465	5
657	90087	4
657	76087	5
657	57530	4
657	80438	3
657	3464	5
657	14254	5
657	69126	4
657	56240	5
657	48502	5
657	43104	5
657	38294	2
657	85705	5
657	93607	4
657	5127	3
657	38013	4
657	28922	3
657	88598	3
657	82300	3
657	86750	4
657	86749	3
657	78597	2
657	78820	3
657	89866	3
657	84959	5
657	29891	5
657	74397	4
657	51976	5
657	69708	4
657	27974	2
657	6990	4
657	92537	3
657	5778	4
657	70570	4
657	92572	3
657	84480	5
657	83015	5
657	44491	4
657	92442	3
657	92438	3
657	48027	2
657	36028	5
657	43124	4
657	38898	3
